%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1746525943420795824,190,1746525943420464038,end_effector_link,0.2721968608293027,0.004197049527208818,-0.10923005740686774,0.02223939409578438,-0.6952092879722218,-0.0019971892142813964,0.7184604836055012
1746525943520990481,191,1746525943520477533,end_effector_link,0.2722186267345284,0.004209490057060219,-0.1091128799635357,0.022759657550813592,-0.6957427255173223,-0.0025763356602593332,0.7179257763672112
1746525943621099543,192,1746525943620581388,end_effector_link,0.2721369789537315,0.004188201057111283,-0.10869604935711921,0.022246992474973727,-0.6963100202147311,-0.0020274792178031145,0.7173934181482291
1746525943720545978,193,1746525943720247507,end_effector_link,0.2721968608293027,0.004197049527208818,-0.10923005740686774,0.02223939409578438,-0.6952092879722218,-0.0019971892142813964,0.7184604836055012
1746525943820792313,194,1746525943820383071,end_effector_link,0.27222525083434634,0.003773518245617428,-0.1091135334081072,0.02169237607857125,-0.6957768197792796,-0.002576334323018367,0.7179257763720099
1746525943921129850,195,1746525943920572519,end_effector_link,0.27222525083434634,0.003773518245617428,-0.1091135334081072,0.02169237607857125,-0.6957768197792796,-0.002576334323018367,0.7179257763720099
1746525944021556562,196,1746525944020705938,end_effector_link,0.2721430833771787,0.003770744239606958,-0.10869604935711931,0.02171292396644931,-0.6963268785982974,-0.002577711315749627,0.7173916520832617
1746525944123496637,197,1746525944120827674,end_effector_link,0.2721369789537315,0.004188201057111283,-0.10869604935711921,0.022246992474973727,-0.6963100202147311,-0.0020274792178031145,0.7173934181482291
1746525944221053857,198,1746525944220692396,end_effector_link,0.2722374691096983,0.00432448180206367,-0.108988847388837,0.021742452693174395,-0.6963284616132998,-0.0014485003302514912,0.7173923899407726
1746525944320759872,199,1746525944320461750,end_effector_link,0.27225557698309233,0.004458230132770945,-0.10886431977738495,0.021259787220075266,-0.6968961434882388,-0.0008705873617946827,0.7168563515211558
1746525944421059866,200,1746525944420593738,end_effector_link,0.27257265099482514,0.00406687949908465,-0.10609943923671725,0.02002381582066,-0.7083814392526924,-0.0013574342821168015,0.7055444285758579
1746525944523197847,201,1746525944520882368,end_effector_link,0.27303110202889475,0.0039030394591465976,-0.1038152500501707,0.018605277049121224,-0.7202115784543948,-0.000911344491324911,0.6935043585857069
1746525944621194275,202,1746525944620857715,end_effector_link,0.27344146005998504,0.004374462073086804,-0.0989543574150605,0.017172688854531833,-0.7416857583123119,0.00024717599947256946,0.6705276083639073
1746525944720838525,203,1746525944720457792,end_effector_link,0.27332563446560065,0.004300658770527258,-0.09375991689957555,0.016256521122068067,-0.7619141270659762,-0.00020536427381860796,0.6474739734721499
1746525944821387258,204,1746525944820664405,end_effector_link,0.2732113154368268,0.004118439305515199,-0.08996532080559094,0.015832264882069437,-0.7775689130758231,-0.0010916742086001623,0.6285974332227336
1746525944921728678,205,1746525944920425891,end_effector_link,0.27299242107719673,0.0039726762351007154,-0.0870075815544703,0.01549416540031109,-0.7894738010341426,-0.0017836742811300748,0.6135860712445398
1746525945021153339,206,1746525945020725488,end_effector_link,0.2686236493946847,0.0027587159653667823,-0.06992787455015724,0.015289101892177902,-0.824294603833112,-0.005188161442107837,0.5659308548186731
1746525945121001263,207,1746525945120467901,end_effector_link,0.2626648812635451,0.001039622580419179,-0.05334856497737204,0.014084304944486457,-0.8486228243854065,-0.00813193494947221,0.5287483389291581
1746525945221184470,208,1746525945220614194,end_effector_link,0.25931722776624117,8.284071003048432e-05,-0.04464701263631344,0.014331446583683015,-0.8720011077499765,-0.011468491421921531,0.4891596379773573
1746525945321562807,209,1746525945320845842,end_effector_link,0.2567861947045838,-0.0002774587870432775,-0.039156625122222774,0.013431987739125673,-0.8904480235860746,-0.012804607020354576,0.45470643390663007
1746525945421271979,210,1746525945420732259,end_effector_link,0.2528852903584543,-0.0011303529738090777,-0.032375268304081044,0.011537957615511305,-0.9123035232519628,-0.014818091653490337,0.40908383145251215
1746525945521071879,211,1746525945520589351,end_effector_link,0.24912632665206486,-0.0021104131730497063,-0.027061736813607257,0.010053085775812936,-0.9287130170516932,-0.01718200328741468,0.37026456242551414
1746525945621009168,212,1746525945620588779,end_effector_link,0.2465006350062664,-0.002438076320205454,-0.024797274552952765,0.008837555390940284,-0.9414366939816726,-0.01839180435163472,0.3365718205261132
1746525945721935897,213,1746525945720955371,end_effector_link,0.24632554995656275,-0.002873155948252751,-0.02707840317319672,0.007853552839585535,-0.9479306824852483,-0.019916474071893148,0.3177563169653609
1746525945820876405,214,1746525945820503234,end_effector_link,0.24724113563327413,-0.0031832698331895615,-0.03056987875486673,0.007886678571344416,-0.9505468167884981,-0.02130262615412919,0.3097494915464797
1746525945920788247,215,1746525945920472621,end_effector_link,0.24920926158279127,-0.0034864302259958336,-0.03640588134394736,0.007001933180477536,-0.9517053070582077,-0.022353055524518457,0.30611815097719425
1746525946021083776,216,1746525946020584821,end_effector_link,0.24894568962015523,-0.004103462501011171,-0.03855927678990333,0.006294159175407401,-0.955788554334216,-0.02433421329373731,0.2929786153072591
1746525946122380871,217,1746525946120831489,end_effector_link,0.249219507367909,-0.003834055122351446,-0.041971586708700284,0.00598330014927065,-0.9588698224787795,-0.024499064206153873,0.2827236451233972
1746525946220980547,218,1746525946220571279,end_effector_link,0.25055814684702027,-0.0037512677051835656,-0.04745001759887822,0.005733645820638525,-0.9601324061184231,-0.025263873352851362,0.2783426390800764
